code,consumption
E09000001,2088.20
E09000002,634.80
E09000003,1107.20
E09000004,781.50
E09000005,1191.20
E09000006,943.90
E09000007,1680.00
E09000008,1209.00
E09000009,1351.60
E09000010,1019.60
E09000011,831.50
E09000012,903.20
E09000013,970.60
E09000014,767.40
E09000015,559.00
E09000016,784.20
E09000017,1362.50
E09000018,1302.20
E09000019,1109.50
E09000020,1259.90
E09000021,601.80
E09000022,1061.90
E09000023,694.70
E09000024,801.30
E09000025,1376.00
E09000026,648.30
E09000027,641.30
E09000028,1632.20
E09000029,671.80
E09000030,2541.50
E09000031,673.40
E09000032,982.10
E09000033,3616.90
